level,program,total_units,code,name,status
Undergraduate,Bachelor of Science in Accounting,26,FIN 4130,Financial Analysis and Reporting,Matched
Undergraduate,Bachelor of Science in Accounting,26,FIN 4030,Investments,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4130,Forensic Accounting,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 1010,Principles of Accounting I,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 2010,Principles of Accounting II,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 1010,Introduction to Business,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 2020,Business Communications,Matched
Undergraduate,Bachelor of Science in Accounting,26,ECO 1010,Principles of Micro,Matched
Undergraduate,Bachelor of Science in Accounting,26,ECO 1020,Principles of Macro Economics,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 3010,Accounting Information Systems,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4010,Managerial Accounting,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4040,Cost Accounting,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4050,International Accounting,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4060,Taxation I,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4071,Principles of Auditing,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4120,Auditing & Investigations,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4131,Public Sector Accounting,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 3010,Business Law,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 3030,Business Statistics,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 4030,Quantitative Methods,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 4070,Business Values and Ethics,Matched
Undergraduate,Bachelor of Science in Accounting,26,FIN 3010,Principles of Finance,Matched
Undergraduate,Bachelor of Science in Accounting,26,MGT 3010,Overview of Management,Matched
Undergraduate,Bachelor of Science in Accounting,26,BUS 4000,Corporate Law,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4910,Accounting Internship Or,Matched
Undergraduate,Bachelor of Science in Accounting,26,ACT 4950,Accounting Project,Matched
Undergraduate,Bachelor of Science in Finance,26,FIN 4130,Financial Analysis and Reporting,Matched
Undergraduate,Bachelor of Science in Finance,26,FIN 4030,Investments,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4130,Forensic Accounting,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 1010,Principles of Accounting I,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 2010,Principles of Accounting II,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 1010,Introduction to Business,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 2020,Business Communications,Matched
Undergraduate,Bachelor of Science in Finance,26,ECO 1010,Principles of Micro,Matched
Undergraduate,Bachelor of Science in Finance,26,ECO 1020,Principles of Macro Economics,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 3010,Accounting Information Systems,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4010,Managerial Accounting,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4040,Cost Accounting,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4050,International Accounting,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4060,Taxation I,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4071,Principles of Auditing,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4120,Auditing & Investigations,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4131,Public Sector Accounting,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 3010,Business Law,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 3030,Business Statistics,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 4030,Quantitative Methods,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 4070,Business Values and Ethics,Matched
Undergraduate,Bachelor of Science in Finance,26,FIN 3010,Principles of Finance,Matched
Undergraduate,Bachelor of Science in Finance,26,MGT 3010,Overview of Management,Matched
Undergraduate,Bachelor of Science in Finance,26,BUS 4000,Corporate Law,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4910,Accounting Internship Or,Matched
Undergraduate,Bachelor of Science in Finance,26,ACT 4950,Accounting Project,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ACT 1010,Principles of Accounting I,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ACT 2010,Principles of Accounting II,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,BUS 1010,Introduction to Business,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,BUS 2020,Business Communications,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ECO 1010,Principles of Micro Economics,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ECO 1020,Principles of Macro Economics,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,BUS 3010,Business Law,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,FIN 3010,Principles of Finance,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ACT 4060,Taxation I,Matched
Undergraduate,Bachelor of Science in Hotel & Restaurant Management,31,ACT 4110,Taxation II,Matched
