program,code,name
Bachelor of Arts in Animation,ANM 1010,History of Film Animation
Bachelor of Arts in Animation,ANM 1020,Fundamentals of Animation
Bachelor of Arts in Animation,ANM 1030,Introduction to Drawing
Bachelor of Arts in Animation,ANM 1040,Character Design
Bachelor of Arts in Animation,ANM 1050,Cinema and Television Equipment
Bachelor of Arts in Animation,ANM 1060,Illustration and Environment Design
Bachelor of Arts in Animation,ANM 1070,The Art of the Storyboard and
Bachelor of Arts in Animation,ANM 2010,Fundamentals of Scripting for
Bachelor of Arts in Animation,ANM 2020,Introduction to 2D and 3D Animation
Bachelor of Arts in Animation,ANM 2040,Acting for Animators
Bachelor of Arts in Animation,ANM 2050,Camera Language and
Bachelor of Arts in Animation,ANM 2070,Theoretical Perspectives in Film and
Bachelor of Arts in Animation,ANM 2080,Composition and Sound Design for
Bachelor of Arts in Animation,ANM 2090,Theories of Popular Media and Art
Bachelor of Arts in Animation,ANM 3000,Fundamentals of Compositing
Bachelor of Arts in Animation,ANM 3010,Storyboarding and the Script
Bachelor of Arts in Animation,ANM 3015,Character Rigging
Bachelor of Arts in Animation,ANM 3040,Law & Ethics in the Animation
Bachelor of Arts in Animation,ANM 3060,The Business of Animation Content
Bachelor of Arts in Animation,ANM 4015,Aesthetics of the African Story
Bachelor of Arts in Animation,ANM 4050,Advanced Scripting for Animation
Bachelor of Arts in Animation,ANM 4060,Senior Project and Portfolio
Bachelor of Arts in Animation,ANM 4910,Internship
Bachelor of Arts in Animation,ANM 4020,3D Environment and Effects
Bachelor of Arts in Animation,ANM 4030,Advanced 3D Animation
Bachelor of Arts in Animation,ANM 4035,Advanced 2D Computer Animation
Bachelor of Arts in Animation,ANM 4045,3D Modeling & Design Methods
Bachelor of Arts in Animation,ANM 4055,Digital Effects for Film and Television
Bachelor of Arts in Animation,ANM 4080,Interactive Design
Bachelor of Arts in Animation,ANM 4082,Virtual and Augmented Design
Bachelor of Arts in Animation,ANM 4085,Gaming Environment Design
Bachelor of Arts in Animation,ANM 4090,Artificial Intelligence in Gaming
Bachelor of Arts in Animation,ANM 4092,Game Programming
Bachelor of Arts in Film Production & Directing,FLA 1005,History of Film & Video
Bachelor of Arts in Film Production & Directing,FLA 1010,Fundamentals of Photography &
Bachelor of Arts in Film Production & Directing,FLA 1015,Fundamental of Scripting
Bachelor of Arts in Film Production & Directing,FLA 1020,Film and Video Production
Bachelor of Arts in Film Production & Directing,SND 1005,History &Theory of Sound for Film &
Bachelor of Arts in Film Production & Directing,FLA 1030,Fundamentals of Film Editing
Bachelor of Arts in Film Production & Directing,FLA 1035,Introduction to Production Design
Bachelor of Arts in Film Production & Directing,FLA 1040,Camera Operation Techniques and
Bachelor of Arts in Film Production & Directing,CIN  2005,Visual Production Design
Bachelor of Arts in Film Production & Directing,FLA 2010,"The Business of Film, Culture and"
Bachelor of Arts in Film Production & Directing,FLA 2015,Fundamentals of Film Directing
Bachelor of Arts in Film Production & Directing,SND 2010,Sound Physics
Bachelor of Arts in Film Production & Directing,FLA 2020,Principles of Writing for Dramatic
Bachelor of Arts in Film Production & Directing,FLA 2025,World Approaches to Film
Bachelor of Arts in Film Production & Directing,FLA 2030,Entertainment Law & Ethics of Film
Bachelor of Arts in Film Production & Directing,FLA 2035,Film Theory and Criticism
Bachelor of Arts in Film Production & Directing,SND 3005,Sound Mixing
Bachelor of Arts in Film Production & Directing,PRD 3005,The Art of the Pitch
Bachelor of Arts in Film Production & Directing,SND 3010,Sound Script Analysis and Project
Bachelor of Arts in Film Production & Directing,PRD 4020,Costume and Makeup for Film
Bachelor of Arts in Film Production & Directing,PRD 4010,Producing: From Green Light to
Bachelor of Arts in Film Production & Directing,PRD 4910,Internship in Film Production
Bachelor of Arts in Film Production & Directing,CIN 3005,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,CIN 3010,Shooting the Master Scene
Bachelor of Arts in Film Production & Directing,CIN 3015,Visual Effects and Green Screen
Bachelor of Arts in Film Production & Directing,CIN 4005,Studio production
Bachelor of Arts in Film Production & Directing,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,SCR 3005,Screen writing: Characters & Genres
Bachelor of Arts in Film Production & Directing,SCR 3010,Writing for the Short Film
Bachelor of Arts in Film Production & Directing,SCR 3015,Writing for Television Drama
Bachelor of Arts in Film Production & Directing,SCR 4005,Feature Film Writing
Bachelor of Arts in Film Production & Directing,PRD 4005,Screen Acting Cinematography
Bachelor of Arts in Film Production & Directing,CIN 3005,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,CIN 3010,Shooting the Master Scene
Bachelor of Arts in Film Production & Directing,CIN 3015,Visual Effects and Green Screen
Bachelor of Arts in Film Production & Directing,CIN 4005,Studio production
Bachelor of Arts in Film Production & Directing,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,EDT 3005,Sound and VFX for Film and Video
Bachelor of Arts in Film Production & Directing,EDT 3010,Advanced Colour Theory and Colour
Bachelor of Arts in Film Production & Directing,EDT 3015,After Effects
Bachelor of Arts in Film Production & Directing,EDT 4005,Editing the Narrative
Bachelor of Arts in Film Production & Directing,PRD 4005,Screen Acting
Bachelor of Arts in Film Production & Directing,DIR 3005,Art Direction and Production Design
Bachelor of Arts in Film Production & Directing,DIR 3010,Directing Actors
Bachelor of Arts in Film Production & Directing,DIR 3015,Location and Studio Directing
Bachelor of Arts in Film Production & Directing,DIR 4005,Directing the Master Scene
Bachelor of Arts in Film Production & Directing,PRD 4005,Screen Acting
Bachelor of Arts in International Relations,ECO 1010,Principles of Microeconomics
Bachelor of Arts in International Relations,ECO 1020,Principles of Macroeconomics
Bachelor of Arts in International Relations,IRL 3010,Development Issues in Africa
Bachelor of Arts in International Relations,IRL 3045,Politics of Regionalism in Africa
Bachelor of Arts in International Relations,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,IRL 2100,Introduction to Human Rights
Bachelor of Arts in International Relations,IRL 2220,Gender and IR
Bachelor of Arts in International Relations,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,IRL 4150,Area Studies
Bachelor of Arts in International Relations,IRL 4220,Refugee Studies
Bachelor of Arts in International Relations,IRL 4811,Critical Issues in Africa
Bachelor of Arts in International Relations,IRL 3100,Diplomacy
Bachelor of Arts in International Relations,IRL 3110,Simulation Exercise (OI)
Bachelor of Arts in International Relations,IRL 3200,Negotiation & Mediation
Bachelor of Arts in International Relations,IRL 4120,International Humanitarian Law
Bachelor of Arts in International Relations,IRL 4040,Africa � Asia Relations
Bachelor of Arts in International Relations,IRL 4055,Africa � Middle East Relations
Bachelor of Arts in International Relations,IRL 4050,U.S./Africa Relations
Bachelor of Arts in International Relations,IRL 4065,East Africa in World Affairs
Bachelor of Arts in International Relations,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,IRL 4800,Critical Issues in Kenyan Foreign
Bachelor of Arts in International Relations,IRL 2000,Foundations of International
Bachelor of Arts in International Relations,IRL 2005,Comparative Foreign Policy
Bachelor of Arts in International Relations,IRL 2010,International Organisations
Bachelor of Arts in International Relations,POL 2201,Introduction to Political Science
Bachelor of Arts in International Relations,IRL 3015,Introduction to Peace & Conflict
Bachelor of Arts in International Relations,IRL 3200,Negotiation & Mediation
Bachelor of Arts in International Relations,IRL 4001,Regional Conflicts in Africa
Bachelor of Arts in International Relations,IRL 4151,Field Study (WI)
Bachelor of Arts in International Relations,IRL 4010,Geopolitics
Bachelor of Arts in International Relations,IRL 4045,Security Studies & Strategies
Bachelor of Arts in International Relations,IRL 4035,Environmental Politics
Bachelor of Arts in International Relations,IRL 4120,International Humanitarian Law
Bachelor of Arts in International Relations,IRL 4220,Refugee Studies
Bachelor of Arts in International Relations,IRL 4850,Studies in Contemporary
Bachelor of Arts in International Relations,IRL 3000,Comparative Political Systems (ILI)
Bachelor of Arts in International Relations,IRL 3003,Research Methods in IR (WI)
Bachelor of Arts in International Relations,IRL 3005,Contemporary Theories & Ideologies
Bachelor of Arts in International Relations,IRL 3021,African Philosophy & Ideologies
Bachelor of Arts in International Relations,IRL 3060,African International Relations
Bachelor of Arts in International Relations,IRL 4020,International Law (OI)
Bachelor of Arts in International Relations,IRL 4030,International Political Economy (ILI)
Bachelor of Arts in International Relations,IRL 4075,Mechanism of International
Bachelor of Arts in International Relations,IRL 4900,International Relations Project (WI)
Bachelor of Arts in International Relations,IRL 4910,International Relations Senior
Bachelor of Arts in Journalism,JRN 3020,Development Journalism
Bachelor of Arts in Journalism,JRN 4025,Creative Writing
Bachelor of Arts in Journalism,JRN 3026,Gender Reporting
Bachelor of Arts in Journalism,JRN 4027,Documentary Production
Bachelor of Arts in Journalism,JRN 4029,Radio Production II
Bachelor of Arts in Journalism,JRN 4030,Television and Video Production II
Bachelor of Arts in Journalism,JRN 3016,Public Speaking
Bachelor of Arts in Journalism,JRN 4037,Advertising and Creative Strategy
Bachelor of Arts in Journalism,JRN 4050,Advertising Planning and Placement
Bachelor of Arts in Journalism,JRN 1100,Introduction to Broadcast Media
Bachelor of Arts in Journalism,JRN 1106,History and Theory of Public
Bachelor of Arts in Journalism,JRN 1109,Introduction to Mass
Bachelor of Arts in Journalism,JRN 2004,Public Relations Writing
Bachelor of Arts in Journalism,JRN 2103,Fundamentals of Photography
Bachelor of Arts in Journalism,JRN 2106,Principles of Broadcasting
Bachelor of Arts in Journalism,JRN 2107,Writing for Broadcast Media
Bachelor of Arts in Journalism,JRN 2202,Introduction to Print Media
Bachelor of Arts in Journalism,JRN 2223,Theories of Mass Communication
Bachelor of Arts in Journalism,JRN 3000,News Reporting and Writing
Bachelor of Arts in Journalism,JRN 3003,Media Law
Bachelor of Arts in Journalism,JRN 3004,Media Ethics
Bachelor of Arts in Journalism,JRN 3006,International Mass Media
Bachelor of Arts in Journalism,JRN 3015,Media Management
Bachelor of Arts in Journalism,JRN 3024,Communication Research
Bachelor of Arts in Journalism,JRN 3027,New Media Production
Bachelor of Arts in Journalism,JRN 3029,Media Studies
Bachelor of Arts in Journalism,JRN 4900,Project OR
Bachelor of Arts in Journalism,JRN 4910,Internship OR
Bachelor of Arts in Journalism,JRN 4911,Media Tour Experience
Bachelor of Arts in Journalism,JRN 3002,Introduction to News Editing
Bachelor of Arts in Journalism,JRN 3020,Development Journalism
Bachelor of Arts in Journalism,JRN 3301,Feature Writing
Bachelor of Arts in Journalism,JRN 3922,Photojournalism
Bachelor of Arts in Journalism,JRN 4031,Print Media Production
Bachelor of Arts in Journalism,JRN 4401,Editorial Writing
Bachelor of Arts in Journalism,JRN 3010,Television & Video Production I
Bachelor of Arts in Journalism,JRN 3012,Broadcast Presentation
Bachelor of Arts in Journalism,JRN 3013,Broadcast Journalism
Bachelor of Arts in Journalism,JRN 3321,Radio Production I
Bachelor of Arts in Journalism,JRN 4013,Broadcast Screenwriting
Bachelor of Arts in Journalism,JRN 4030,Television and Video Production II
Bachelor of Arts in Journalism,JRN 2109,History & Theory of Advertising
Bachelor of Arts in Journalism,JRN 3018,Organisational Communication
Bachelor of Arts in Journalism,JRN 3901,Principles of Advertising
Bachelor of Arts in Journalism,JRN 3911,Principles of Public Relations
Bachelor of Arts in Journalism,JRN 4033,Advertising content & Media
Bachelor of Arts in Journalism,JRN 4037,Advertising and Creative Strategy
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2212,Sociology of Gender
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2215,Sociology of Religion
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2216,Sociology of Education
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3305,Deviant Behavior
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3313,Political Sociology
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3314,Environmental Sociology
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3316,Sociology of Development
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3321,Race and Ethnic Relations
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3323,Social Demography
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4412,Collective Behavior and Social
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4415,Sociology of Law
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4419,Sociology of Mass Communication
Bachelor of Arts in Sociology (Double Major) (On hold),BUS 1010,Introduction to Business
Bachelor of Arts in Sociology (Double Major) (On hold),CJS 2211,Community and Social Justice
Bachelor of Arts in Sociology (Double Major) (On hold),PSY 1171,Introduction to Health Psychology
Bachelor of Arts in Sociology (Double Major) (On hold),PSY 2125,Human Sexuality
Bachelor of Arts in Sociology (Double Major) (On hold),COM 3000,Organizational Communication
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 3010,Development Issues in Africa
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 1101,Basic Sociological Concepts and
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 1102,The Social Structure of Society
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3302,Classical Sociological Theory
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3303,Social Research Method
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4401,Modern Sociological Theory
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2207,The Concepts of Health and
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2209,Social Problems
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2212,Sociology of Gender
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2213,Sociology of the Family
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 2217,Social Inequality
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3305,Deviant Behavior
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3317,Social Conflict and Resolution
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3319,Sociology of Work and
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 3320,Urban Sociology
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4412,Collective Behavior and Social
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4414,Rural Sociology
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4415,Sociology of Law
Bachelor of Arts in Sociology (Double Major) (On hold),SOC 4419,Sociology of Mass Communication
Bachelor of Arts in Sociology (Double Major) (On hold),HIS 3015,20th Century Eastern Africa
Bachelor of Arts in Sociology (Double Major) (On hold),HIS 3025,"History of Kenya (WI, OI)"
Bachelor of Arts in Sociology (Double Major) (On hold),HIS 4120,African Economic History Since
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 3010,Development Issues in Africa
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 3021,Hunger and Development in Africa
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 3060,African International Relations
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 4001,Regional Conflict in Africa
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 4050,U.S. � Africa Relations
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 3040,Politics in Africa
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 4065,U.S. � East Africa Relations
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 4281,East Africa and the Indian Sub-
Bachelor of Arts in Sociology (Double Major) (On hold),IRL 4811,Critical Issues in Africa Literature
Bachelor of Arts in Sociology (Double Major) (On hold),LIT 4785,African Authors Seminar Philosophy
Bachelor of Arts in Sociology (Double Major) (On hold),PHL 4230,African Philosophy
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 2000,Intermediate Arabic I
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3000,Advanced Grammar and
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3001,Arabic Culture and Civilization
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3002,Contemporary History of the Arabic
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3003,Arabic Literature 1 (Pre-Islamic)
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3004,Arabic Literature II (Islamic/
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 3005,Arabic Literature III
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 4000,Arabic-Islamic Thought I
Bachelor of Arts in Sociology (Double Major) (On hold),ARB 4001,Arabic-Islamic Thought II
